,Price,Street Address,Bed,Bath,Listing Area,Certificate,Jakarta Division
211,2400000000.0,Kemayoran,4,4,190,SHM - Sertifikat Hak Milik,CENTRAL
214,5300000000.0,Kemayoran,3,3,120,SHGB - Hak Guna Bangunan,CENTRAL
220,1970000000.0,Kemayoran,4,3,180,SHM - Sertifikat Hak Milik,CENTRAL
222,486200000.0,Cempaka Putih,2,2,41,SHM - Sertifikat Hak Milik,CENTRAL
223,3600000000.0,Kemayoran,4,3,185,SHM - Sertifikat Hak Milik,CENTRAL
226,1500000000.0,Sawah Besar,3,2,150,SHGB - Hak Guna Bangunan,CENTRAL
234,486000000.0,Cempaka Putih,2,2,37,SHM - Sertifikat Hak Milik,CENTRAL
243,1600000000.0,Kemayoran,3,2,120,SHM - Sertifikat Hak Milik,CENTRAL
244,3500000000.0,Petojo Utara,5,3,160,SHM - Sertifikat Hak Milik,CENTRAL
247,165000000.0,Kemayoran,2,1,36,SHM - Sertifikat Hak Milik,CENTRAL
255,3600000000.0,Kemayoran,4,3,185,SHM - Sertifikat Hak Milik,CENTRAL
263,3500000000.0,Kemayoran,4,3,185,SHM - Sertifikat Hak Milik,CENTRAL
268,1350000000.0,Sawah Besar,3,2,98,SHM - Sertifikat Hak Milik,CENTRAL
270,2300000000.0,Kemayoran,3,3,200,SHM - Sertifikat Hak Milik,CENTRAL
271,2600000000.0,Kemayoran,3,2,190,SHM - Sertifikat Hak Milik,CENTRAL
274,1400000000.0,Gambir,4,3,98,SHM - Sertifikat Hak Milik,CENTRAL
275,2450000000.0,Sudirman,4,4,114,SHM - Sertifikat Hak Milik,CENTRAL
276,550000000.0,Menteng,2,1,45,SHM - Sertifikat Hak Milik,CENTRAL
277,550000000.0,Sudirman,2,1,45,SHM - Sertifikat Hak Milik,CENTRAL
278,4500000000.0,Sawah Besar,4,3,314,SHM - Sertifikat Hak Milik,CENTRAL
279,650000000.0,Johar Baru,3,2,50,SHM - Sertifikat Hak Milik,CENTRAL
280,650000000.0,Bendungan Hilir,3,2,50,SHM - Sertifikat Hak Milik,CENTRAL
281,650000000.0,Cempaka Putih,3,2,50,SHM - Sertifikat Hak Milik,CENTRAL
282,650000000.0,Cempaka Putih,3,2,50,SHM - Sertifikat Hak Milik,CENTRAL
283,650000000.0,Cempaka Putih,3,2,50,SHM - Sertifikat Hak Milik,CENTRAL
284,650000000.0,Cempaka Putih,3,2,50,SHM - Sertifikat Hak Milik,CENTRAL
286,5200000000.0,Tanah Abang,4,2,240,SHM - Sertifikat Hak Milik,CENTRAL
291,5500000000.0,Tanah Abang,4,2,240,SHM - Sertifikat Hak Milik,CENTRAL
293,5800000000.0,Cempaka Putih,4,3,200,SHGB - Hak Guna Bangunan,CENTRAL
296,1600000000.0,Salemba,4,2,200,SHM - Sertifikat Hak Milik,CENTRAL
299,3278200000.0,Cempaka Putih,5,3,350,SHM - Sertifikat Hak Milik,CENTRAL
300,3278200000.0,Cempaka Putih,5,3,350,SHM - Sertifikat Hak Milik,CENTRAL
304,850000000.0,Johar Baru,4,2,80,SHM - Sertifikat Hak Milik,CENTRAL
306,4500000000.0,Sawah Besar,3,2,314,SHM - Sertifikat Hak Milik,CENTRAL
308,1400000000.0,Gunung Sahari,2,2,63,SHM - Sertifikat Hak Milik,CENTRAL
310,6000000000.0,Cempaka Putih,5,4,280,SHM - Sertifikat Hak Milik,CENTRAL
312,1542313130.0,Kemayoran,3,2,69,SHM - Sertifikat Hak Milik,CENTRAL
321,5500000000.0,Gunung Sahari,4,4,260,SHM - Sertifikat Hak Milik,CENTRAL
327,2350000000.0,Cideng,3,2,95,SHM - Sertifikat Hak Milik,CENTRAL
329,5800000000.0,Cempaka Putih,4,1,100,SHM - Sertifikat Hak Milik,CENTRAL
330,4300000000.0,Cideng,5,2,150,SHM - Sertifikat Hak Milik,CENTRAL
333,2500000000.0,Kemayoran,3,2,96,SHM - Sertifikat Hak Milik,CENTRAL
338,5000000000.0,Tanah Abang,4,2,150,AJB - Akta Jual Beli,CENTRAL
341,700000000.0,Senen,2,2,64,SHM - Sertifikat Hak Milik,CENTRAL
344,400000000.0,Sawah Besar,2,1,45,SHM - Sertifikat Hak Milik,CENTRAL
347,600000000.0,Menteng,2,1,40,SHM - Sertifikat Hak Milik,CENTRAL
348,700000000.0,Menteng,3,2,54,SHM - Sertifikat Hak Milik,CENTRAL
349,800000000.0,Menteng,3,2,69,SHM - Sertifikat Hak Milik,CENTRAL
351,400000000.0,Johar Baru,2,2,48,SHM - Sertifikat Hak Milik,CENTRAL
352,400000000.0,Senen,2,1,40,SHM - Sertifikat Hak Milik,CENTRAL
353,1375000000.0,Cempaka Putih,3,3,110,SHM - Sertifikat Hak Milik,CENTRAL
354,1000000000.0,Cempaka Putih,2,2,60,SHM - Sertifikat Hak Milik,CENTRAL
355,795000000.0,Kemayoran,2,2,62,SHM - Sertifikat Hak Milik,CENTRAL
356,600000000.0,Cempaka Putih,2,2,60,SHM - Sertifikat Hak Milik,CENTRAL
357,400000000.0,Cempaka Putih,2,1,60,SHM - Sertifikat Hak Milik,CENTRAL
358,400000000.0,Kemayoran,2,1,44,SHM - Sertifikat Hak Milik,CENTRAL
360,1255000000.0,Menteng,3,3,90,SHM - Sertifikat Hak Milik,CENTRAL
365,2800000000.0,Senen,3,3,130,SHM - Sertifikat Hak Milik,CENTRAL
379,3300000000.0,Cideng,2,1,140,SHM - Sertifikat Hak Milik,CENTRAL
384,1725000000.0,Gambir,4,3,282,SHM - Sertifikat Hak Milik,CENTRAL
387,1500000000.0,Cempaka Putih,3,3,194,SHM - Sertifikat Hak Milik,CENTRAL
388,3500000000.0,Cempaka Putih,3,3,157,SHM - Sertifikat Hak Milik,CENTRAL
389,1900000000.0,Johar Baru,3,2,150,SHM - Sertifikat Hak Milik,CENTRAL
390,1400000000.0,Cempaka Putih,3,2,100,SHM - Sertifikat Hak Milik,CENTRAL
392,4500000000.0,Cempaka Putih,4,3,190,SHM - Sertifikat Hak Milik,CENTRAL
398,850000000.0,Menteng,2,3,42,SHM - Sertifikat Hak Milik,CENTRAL
400,1552391239.0,Kemayoran,3,2,69,SHM - Sertifikat Hak Milik,CENTRAL
403,1525000000.0,Cempaka Putih,2,2,68,SHM - Sertifikat Hak Milik,CENTRAL
404,4200000000.0,Senen,2,2,100,SHM - Sertifikat Hak Milik,CENTRAL
407,3300000000.0,Cempaka Putih,4,3,155,SHM - Sertifikat Hak Milik,CENTRAL
408,5312390000.0,Kemayoran,5,4,218,SHM - Sertifikat Hak Milik,CENTRAL
409,1000000300.0,Kemayoran,2,2,53,SHM - Sertifikat Hak Milik,CENTRAL
411,2900100000.0,Johar Baru,3,2,132,SHM - Sertifikat Hak Milik,CENTRAL
412,2900000000.0,Kemayoran,3,2,132,SHM - Sertifikat Hak Milik,CENTRAL
415,1423890000.0,Glodok,2,2,63,SHM - Sertifikat Hak Milik,CENTRAL
416,1551239000.0,Roxy,3,2,69,SHM - Sertifikat Hak Milik,CENTRAL
417,4600000000.0,Gunung Sahari,3,2,140,SHM - Sertifikat Hak Milik,CENTRAL
419,4500000000.0,Cempaka Putih,3,2,100,SHM - Sertifikat Hak Milik,CENTRAL
422,1850000000.0,Cempaka Putih,5,3,140,SHM - Sertifikat Hak Milik,CENTRAL
423,5312333900.0,Menteng,5,4,218,SHM - Sertifikat Hak Milik,CENTRAL
424,5312333123.0,Kemayoran,5,4,218,SHM - Sertifikat Hak Milik,CENTRAL
428,3600000000.0,Kemayoran,3,2,190,SHM - Sertifikat Hak Milik,CENTRAL
437,1412339000.0,Johar Baru,2,2,63,SHM - Sertifikat Hak Milik,CENTRAL
438,1444239000.0,Kemayoran,2,2,63,SHM - Sertifikat Hak Milik,CENTRAL
447,3950000000.0,Roxy,4,4,200,SHM - Sertifikat Hak Milik,CENTRAL
451,5500000000.0,Bendungan Hilir,4,2,100,SHM - Sertifikat Hak Milik,CENTRAL
456,600000000.0,Sudirman,2,1,36,SHM - Sertifikat Hak Milik,CENTRAL
465,750000000.0,Senen,2,2,46,SHM - Sertifikat Hak Milik,CENTRAL
466,1272368000.0,Cempaka Putih,3,3,88,SHM - Sertifikat Hak Milik,CENTRAL
467,700000000.0,Senen,2,2,46,SHM - Sertifikat Hak Milik,CENTRAL
469,2800000000.0,Cempaka Putih,4,2,160,SHM - Sertifikat Hak Milik,CENTRAL
471,1350000000.0,Sawah Besar,3,2,98,SHM - Sertifikat Hak Milik,CENTRAL
476,3000000000.0,Bendungan Hilir,3,3,84,SHM - Sertifikat Hak Milik,CENTRAL
479,2700000000.0,Kemayoran,4,4,300,SHM - Sertifikat Hak Milik,CENTRAL
480,2350000000.0,Cempaka Putih,5,2,100,SHM - Sertifikat Hak Milik,CENTRAL
482,2650000000.0,Gunung Sahari,4,3,196,SHM - Sertifikat Hak Milik,CENTRAL
487,7000000000.0,Kemayoran,5,4,280,SHM - Sertifikat Hak Milik,CENTRAL
491,1350000000.0,Cempaka Putih,3,3,85,SHM - Sertifikat Hak Milik,CENTRAL
492,1850000000.0,Kemayoran,5,2,140,SHM - Sertifikat Hak Milik,CENTRAL
498,1750000000.0,Kemayoran,3,3,100,SHM - Sertifikat Hak Milik,CENTRAL
499,1350000000.0,Sawah Besar,2,1,98,SHM - Sertifikat Hak Milik,CENTRAL
503,770000000.0,Senen,2,2,53,SHM - Sertifikat Hak Milik,CENTRAL
507,950000000.0,Cempaka Putih,5,2,105,SHM - Sertifikat Hak Milik,CENTRAL
510,4500000000.0,Cideng,5,4,300,SHM - Sertifikat Hak Milik,CENTRAL
514,1690000000.0,Petojo Utara,2,3,130,SHM - Sertifikat Hak Milik,CENTRAL
515,3990000000.0,Glodok,4,3,180,SHM - Sertifikat Hak Milik,CENTRAL
516,2150000000.0,Gunung Sahari,3,3,230,SHM - Sertifikat Hak Milik,CENTRAL
523,5600000000.0,Cideng,4,4,250,SHM - Sertifikat Hak Milik,CENTRAL
526,550000000.0,Johar Baru,2,2,24,SHM - Sertifikat Hak Milik,CENTRAL
530,260000000.0,Senen,2,1,36,SHM - Sertifikat Hak Milik,CENTRAL
531,270000000.0,Bendungan Hilir,2,1,36,SHM - Sertifikat Hak Milik,CENTRAL
537,5000000000.0,Kemayoran,3,3,216,SHM - Sertifikat Hak Milik,CENTRAL
538,2650000000.0,Gunung Sahari,5,4,220,SHM - Sertifikat Hak Milik,CENTRAL
546,7000000000.0,Menteng,5,1,100,AJB - Akta Jual Beli,CENTRAL
547,1001239130.0,Kemayoran,2,2,53,SHM - Sertifikat Hak Milik,CENTRAL
548,2912380000.0,Cempaka Putih,3,2,132,SHM - Sertifikat Hak Milik,CENTRAL
550,1350000000.0,Gunung Sahari,4,1,120,SHM - Sertifikat Hak Milik,CENTRAL
551,4500000000.0,Sawah Besar,3,2,124,SHM - Sertifikat Hak Milik,CENTRAL
556,6500000000.0,Gunung Sahari,5,3,300,SHM - Sertifikat Hak Milik,CENTRAL
559,6500000000.0,Glodok,3,2,70,SHM - Sertifikat Hak Milik,CENTRAL
563,3000000000.0,Cideng,4,2,200,SHM - Sertifikat Hak Milik,CENTRAL
569,650000000.0,Bendungan Hilir,3,2,50,SHM - Sertifikat Hak Milik,CENTRAL
570,650000000.0,Gambir,3,2,50,SHM - Sertifikat Hak Milik,CENTRAL
571,650000000.0,Salemba,3,2,50,SHM - Sertifikat Hak Milik,CENTRAL
572,650000000.0,Bendungan Hilir,3,2,50,SHM - Sertifikat Hak Milik,CENTRAL
573,650000000.0,Sawah Besar,3,2,50,SHM - Sertifikat Hak Milik,CENTRAL
574,650000000.0,Johar Baru,3,2,50,SHM - Sertifikat Hak Milik,CENTRAL
575,650000000.0,Sawah Besar,3,2,50,SHM - Sertifikat Hak Milik,CENTRAL
588,5500000000.0,Cempaka Putih,5,4,250,SHM - Sertifikat Hak Milik,CENTRAL
593,1551239000.0,Johar Baru,3,2,69,SHM - Sertifikat Hak Milik,CENTRAL
594,900000000.0,Petojo Utara,3,2,55,SHM - Sertifikat Hak Milik,CENTRAL
595,889999999.0,Cempaka Putih,3,2,120,SHM - Sertifikat Hak Milik,CENTRAL
596,1400000000.0,Sudirman,2,2,63,SHM - Sertifikat Hak Milik,CENTRAL
597,2200000000.0,Johar Baru,3,1,150,SHM - Sertifikat Hak Milik,CENTRAL
603,800000000.0,Sudirman,3,2,70,SHM - Sertifikat Hak Milik,CENTRAL
610,3900000000.0,Sawah Besar,3,3,192,SHM - Sertifikat Hak Milik,CENTRAL
615,2900000000.0,Cempaka Putih,5,2,224,SHM - Sertifikat Hak Milik,CENTRAL
617,1100000000.0,Kemayoran,2,2,117,SHM - Sertifikat Hak Milik,CENTRAL
618,534879000.0,Kemayoran,2,2,42,SHM - Sertifikat Hak Milik,CENTRAL
621,2100000000.0,Sawah Besar,2,1,90,SHM - Sertifikat Hak Milik,CENTRAL
622,3500000000.0,Cempaka Putih,3,2,200,SHM - Sertifikat Hak Milik,CENTRAL
623,1300000000.0,Gunung Sahari,4,3,160,SHGB - Hak Guna Bangunan,CENTRAL
625,775000000.0,Kemayoran,3,2,128,SHM - Sertifikat Hak Milik,CENTRAL
627,4000000000.0,Bendungan Hilir,5,2,127,SHM - Sertifikat Hak Milik,CENTRAL
631,2500000000.0,Cempaka Putih,4,3,140,SHM - Sertifikat Hak Milik,CENTRAL
637,1350000000.0,Sawah Besar,3,2,98,SHM - Sertifikat Hak Milik,CENTRAL
638,1850000000.0,Cempaka Putih,5,3,140,SHM - Sertifikat Hak Milik,CENTRAL
639,3000000000.0,Gunung Sahari,4,3,220,SHM - Sertifikat Hak Milik,CENTRAL
640,2900000000.0,Senen,4,3,100,SHM - Sertifikat Hak Milik,CENTRAL
644,1350000000.0,Sawah Besar,3,2,98,SHM - Sertifikat Hak Milik,CENTRAL
645,4500000000.0,Tanah Abang,3,2,150,SHM - Sertifikat Hak Milik,CENTRAL
646,4000000000.0,Kemayoran,2,1,50,SHM - Sertifikat Hak Milik,CENTRAL
647,4587000000.0,Johar Baru,4,2,300,SHM - Sertifikat Hak Milik,CENTRAL
652,6500000000.0,Cempaka Putih,4,4,280,SHM - Sertifikat Hak Milik,CENTRAL
659,2144948410.0,Bekasi,3,3,118,SHGB - Hak Guna Bangunan,CENTRAL
666,5500000000.0,Kemayoran,4,3,350,SHM - Sertifikat Hak Milik,CENTRAL
668,1730000000.0,Senen,2,2,123,SHM - Sertifikat Hak Milik,CENTRAL
669,1875000000.0,Cempaka Putih,4,3,200,SHM - Sertifikat Hak Milik,CENTRAL
673,450000000.0,Sawah Besar,2,1,50,SHM - Sertifikat Hak Milik,CENTRAL
675,7000000000.0,Bendungan Hilir,5,2,100,SHM - Sertifikat Hak Milik,CENTRAL
682,2500000000.0,Salemba,3,3,222,SHM - Sertifikat Hak Milik,CENTRAL
685,1275000000.0,Gunung Sahari,4,3,160,SHGB - Hak Guna Bangunan,CENTRAL
692,3100000000.0,Cempaka Putih,5,3,200,SHM - Sertifikat Hak Milik,CENTRAL
698,4000000000.0,Cempaka Putih,3,3,157,SHM - Sertifikat Hak Milik,CENTRAL
704,900000000.0,Kemayoran,3,2,55,SHM - Sertifikat Hak Milik,CENTRAL
706,4612390000.0,Kemayoran,3,3,179,SHM - Sertifikat Hak Milik,CENTRAL
711,3250000000.0,Cempaka Putih,4,3,80,SHM - Sertifikat Hak Milik,CENTRAL
712,2850000000.0,Kemayoran,4,3,250,SHM - Sertifikat Hak Milik,CENTRAL
713,2100000000.0,Cempaka Putih,4,3,135,SHM - Sertifikat Hak Milik,CENTRAL
714,1750000000.0,Kemayoran,3,2,160,SHGB - Hak Guna Bangunan,CENTRAL
715,1650000000.0,Cempaka Putih,3,3,120,SHM - Sertifikat Hak Milik,CENTRAL
716,3250000000.0,Tanah Abang,4,1,250,SHM - Sertifikat Hak Milik,CENTRAL
717,699000000.0,Sudirman,3,2,45,SHM - Sertifikat Hak Milik,CENTRAL
718,4500000000.0,Johar Baru,2,3,227,SHM - Sertifikat Hak Milik,CENTRAL
719,1412390000.0,Menteng,2,2,63,SHM - Sertifikat Hak Milik,CENTRAL
720,2100000000.0,Johar Baru,3,2,80,SHM - Sertifikat Hak Milik,CENTRAL
728,6000000000.0,Senen,3,2,350,SHM - Sertifikat Hak Milik,CENTRAL
730,2500000000.0,Kemayoran,4,2,240,AJB - Akta Jual Beli,CENTRAL
731,2950000000.0,Kemayoran,4,3,181,SHM - Sertifikat Hak Milik,CENTRAL
733,1412389000.0,Sawah Besar,2,2,63,SHM - Sertifikat Hak Milik,CENTRAL
734,1412379000.0,Glodok,2,2,63,SHM - Sertifikat Hak Milik,CENTRAL
735,1412389000.0,Kemayoran,2,2,63,SHM - Sertifikat Hak Milik,CENTRAL
